"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.188915132E2,6.497877833E1,2.569272500E1,2.559491002E1,4.310000000E1,3.744089365E0,3.031199951E2,1.574046830E0,2.400000095E0,1.460000038E1,3.500000000E1
1.198915132E2,6.497879667E1,2.569264333E1,2.529493884E1,4.280000000E1,3.723500490E0,2.957000122E2,1.577786646E0,2.400000095E0,1.439999962E1,3.500000000E1
1.208915132E2,6.497881500E1,2.569257667E1,2.499496568E1,4.250000000E1,3.696734905E0,3.087399902E2,1.580633135E0,2.299999952E0,1.439999962E1,3.500000000E1
1.218915132E2,6.497882833E1,2.569252500E1,2.469498561E1,4.220000000E1,3.595334768E0,3.018500061E2,1.584438902E0,2.299999952E0,1.489999962E1,3.500000000E1
1.228915132E2,6.497884667E1,2.569245667E1,2.499501266E1,4.250000000E1,3.556730509E0,3.018900146E2,1.588354169E0,2.299999952E0,1.510000038E1,3.500000000E1
1.238915132E2,6.497886333E1,2.569238333E1,2.499503875E1,4.250000000E1,3.511949778E0,3.043599854E2,1.592308249E0,2.299999952E0,1.550000000E1,3.600000000E1
1.248915132E2,6.497888500E1,2.569231667E1,2.519506884E1,4.270000000E1,3.423417568E0,3.020899963E2,1.595901065E0,2.299999952E0,1.460000038E1,3.600000000E1
1.258915132E2,6.497890500E1,2.569225667E1,2.559509642E1,4.310000000E1,3.389960527E0,3.072500000E2,1.599277028E0,2.299999952E0,1.480000019E1,3.600000000E1
1.268915132E2,6.497892167E1,2.569219667E1,2.559512073E1,4.310000000E1,3.302457809E0,2.946499939E2,1.602330363E0,2.299999952E0,1.469999981E1,3.600000000E1
1.278915132E2,6.497894000E1,2.569214833E1,2.599514512E1,4.350000000E1,3.187160015E0,3.025799866E2,1.606817703E0,2.299999952E0,1.369999981E1,3.500000000E1
1.288915132E2,6.497895833E1,2.569206333E1,2.629517438E1,4.380000000E1,3.107378006E0,2.973299866E2,1.611133531E0,2.000000000E0,1.139999962E1,3.600000000E1
1.298915132E2,6.497898167E1,2.569199000E1,2.769520699E1,4.520000000E1,3.037375927E0,2.951400146E2,1.614390701E0,1.799999952E0,1.050000000E1,3.500000000E1
1.308915132E2,6.497899500E1,2.569192833E1,2.829522825E1,4.580000000E1,3.013698578E0,2.947799988E2,1.618507700E0,1.799999952E0,1.100000000E1,3.600000000E1
1.318915132E2,6.497900833E1,2.569184667E1,2.929525216E1,4.680000000E1,2.997742176E0,2.850199890E2,1.621613737E0,1.700000048E0,1.019999981E1,3.500000000E1
1.328915132E2,6.497901833E1,2.569178500E1,2.949527015E1,4.700000000E1,2.982300520E0,2.881000061E2,1.625064772E0,1.899999976E0,1.069999981E1,3.600000000E1
1.338915132E2,6.497902500E1,2.569171333E1,2.959528621E1,4.710000000E1,2.913842440E0,2.938200073E2,1.628142547E0,1.799999952E0,1.150000000E1,3.500000000E1
1.348915132E2,6.497904000E1,2.569165833E1,2.999530821E1,4.750000000E1,2.886047602E0,2.980799866E2,1.631766225E0,2.000000000E0,1.210000038E1,3.500000000E1
1.358915132E2,6.497905000E1,2.569158500E1,3.049532775E1,4.800000000E1,2.834060669E0,2.999200134E2,1.636138903E0,1.799999952E0,1.150000000E1,3.600000000E1
1.368915132E2,6.497907667E1,2.569151667E1,3.109536296E1,4.860000000E1,2.823765993E0,3.111600037E2,1.639550124E0,1.700000048E0,1.039999962E1,3.600000000E1
1.378915132E2,6.497909667E1,2.569146167E1,3.079538986E1,4.830000000E1,2.838178396E0,3.205400085E2,1.642512892E0,1.700000048E0,1.069999981E1,3.600000000E1
1.388915132E2,6.497911833E1,2.569142500E1,3.069541596E1,4.820000000E1,2.832516432E0,3.308699951E2,1.646225173E0,1.700000048E0,1.050000000E1,3.700000000E1
1.398915132E2,6.497915000E1,2.569140000E1,3.039545032E1,4.790000000E1,2.859796762E0,3.471799927E2,1.649491548E0,1.700000048E0,1.000000000E1,3.500000000E1
1.408915132E2,6.497917833E1,2.569138167E1,2.999548052E1,4.750000000E1,2.851046324E0,3.552500000E2,1.652827396E0,1.799999952E0,1.050000000E1,3.500000000E1
1.418915132E2,6.497920833E1,2.569138167E1,3.009550992E1,4.760000000E1,2.889135838E0,1.679999948E0,1.655981816E0,2.000000000E0,1.150000000E1,3.600000000E1
1.428915132E2,6.497923667E1,2.569138500E1,3.019553724E1,4.770000000E1,2.900974512E0,7.190000057E0,1.659534257E0,2.200000048E0,1.250000000E1,3.400000000E1
1.438915132E2,6.497926833E1,2.569139500E1,2.999556695E1,4.750000000E1,2.960682154E0,1.497999954E1,1.663126393E0,2.200000048E0,1.330000019E1,3.500000000E1
1.448915132E2,6.497929833E1,2.569142333E1,2.939559259E1,4.690000000E1,3.039949417E0,2.592000008E1,1.667523272E0,2.200000048E0,1.300000000E1,3.400000000E1
1.458915132E2,6.497933500E1,2.569145833E1,2.899562388E1,4.650000000E1,3.225249529E0,3.010000038E1,1.672121343E0,2.299999952E0,1.339999962E1,3.500000000E1
