"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.767497980E-1,6.682890058E-1,1.685935020E0,3.586379886E-1,1.848677445E0
6.817601710E-1,2.222940028E-1,1.510851979E0,8.749470115E-1,1.760005852E0
6.867704020E-1,-3.544740081E-1,1.551015973E0,1.616413951E0,2.268060059E0
6.917807790E-1,-5.549219847E-1,1.514384031E0,1.990476966E0,2.561893041E0
6.967912410E-1,-6.833750010E-1,1.314893007E0,1.845595956E0,2.366890248E0
7.018014690E-1,-1.224326015E0,1.173231959E0,1.779832959E0,2.458302826E0
7.068118510E-1,-1.542755008E0,1.340913057E0,2.238116026E0,3.031056612E0
7.118220750E-1,-1.281978011E0,1.360131025E0,2.473783016E0,3.100488097E0
7.168325350E-1,4.297829866E-1,7.210770249E-1,9.241719842E-1,1.248502843E0
7.218429110E-1,1.442417979E0,3.296630085E-1,-6.106299907E-2,1.480870020E0
7.268531420E-1,7.535910010E-1,3.425579965E-1,1.003049970E0,1.300520903E0
7.318635350E-1,-2.841959894E-1,4.109959900E-1,2.310187101E0,2.363609424E0
7.368739960E-1,-4.032599926E-2,7.275500149E-2,7.937480211E-1,7.980948550E-1
7.418842380E-1,-1.666730046E-1,-1.718589962E-1,-1.017516017E0,1.045301033E0
7.468946210E-1,-5.997440219E-1,-6.121399999E-2,-1.102880016E-1,6.128649842E-1
7.519048530E-1,-8.619250059E-1,-5.620000139E-2,-6.211680174E-1,1.063918635E0
7.569153130E-1,-8.131870031E-1,-1.122350022E-1,-1.537718058E0,1.743114059E0
7.619256950E-1,-4.850639999E-1,1.020060033E-1,-1.083225965E0,1.191247582E0
7.669359250E-1,-8.488510251E-1,3.508319855E-1,-1.297672033E0,1.589837681E0
7.719463230E-1,-1.183658004E0,3.954420090E-1,-2.161746025E0,2.496110280E0
7.769567850E-1,-1.380174041E0,4.748409986E-1,-9.026460052E-1,1.716136407E0
7.819670170E-1,-1.772717953E0,3.574320078E-1,-5.307459831E-1,1.884669170E0
7.869774770E-1,-2.001539946E0,3.111220002E-1,-2.330000047E-3,2.025577567E0
7.919878630E-1,-1.787984014E0,3.023149967E-1,8.707429767E-1,2.011585077E0
7.969980940E-1,-1.583269000E0,8.879899979E-2,1.572093964E0,2.232958893E0
8.020084770E-1,-1.314560056E0,-4.776729941E-1,1.426355958E0,1.997681393E0
8.070189470E-1,-6.350839734E-1,-5.737519860E-1,1.636500061E-1,8.713806971E-1
8.120291030E-1,1.275340021E-1,-1.024999991E-1,8.061230183E-1,8.225603273E-1
8.170395490E-1,4.573689997E-1,-6.053999998E-3,1.800400019E-2,4.577632541E-1
8.220497820E-1,6.435989738E-1,-2.586619854E-1,-3.791269958E-1,7.904827263E-1
8.270601640E-1,5.227900147E-1,-3.716590106E-1,3.583439887E-1,7.347450129E-1
8.320703970E-1,4.904290140E-1,-5.316320062E-1,-3.715929985E-1,8.131633073E-1
8.370808610E-1,7.266650200E-1,-6.119189858E-1,-1.161800981E0,1.500755948E0
8.420912470E-1,8.473910093E-1,-6.058740020E-1,-6.194549799E-1,1.211973309E0
8.471014780E-1,6.665470004E-1,-6.613979936E-1,-5.645840168E-1,1.095667523E0
8.521119340E-1,5.416629910E-1,-1.036038041E0,-1.149191976E0,1.639333955E0
8.571223200E-1,5.447779894E-1,-1.170160055E0,-8.320410252E-1,1.535691987E0
8.621325550E-1,4.714469910E-1,-1.077051997E0,-7.804859877E-1,1.411191570E0
8.671430150E-1,2.295130044E-1,-8.955640197E-1,-8.231409788E-1,1.237849831E0
8.721534110E-1,-4.183499888E-2,-7.857109904E-1,-1.559650004E-1,8.021327876E-1
8.771636420E-1,-3.383679986E-1,-7.519649863E-1,1.643320024E-1,8.408027415E-1
8.821740250E-1,-6.261749864E-1,-7.293559909E-1,4.243409932E-1,1.050771409E0
8.871842620E-1,-8.474270105E-1,-5.848330259E-1,7.787799835E-1,1.290992048E0
8.921947220E-1,-9.313690066E-1,-4.360390007E-1,9.152609706E-1,1.376692007E0
8.972051140E-1,-9.734650254E-1,-3.800599873E-1,7.404789925E-1,1.280776674E0
9.022153440E-1,-9.143509865E-1,-2.986420095E-1,4.737479985E-1,1.072222898E0
9.072257990E-1,-7.994599938E-1,-3.606050014E-1,2.248249948E-1,9.053830831E-1
9.122361850E-1,-8.485040069E-1,-4.745700061E-1,-1.540749967E-1,9.843347220E-1
9.172464060E-1,-8.117160201E-1,-6.923810244E-1,-6.460880041E-1,1.247278673E0
9.222567890E-1,-5.912399888E-1,-1.048306942E0,-1.012501955E0,1.572791270E0
9.272670220E-1,-3.696250021E-1,-1.439170003E0,-1.219856977E0,1.922468201E0
9.322774810E-1,-4.504880011E-1,-1.809656024E0,-1.469383955E0,2.374212200E0
9.372878680E-1,-7.267400026E-1,-1.965342045E0,-1.959280968E0,2.868710912E0
9.422980990E-1,-8.917520046E-1,-1.893108964E0,-1.940963984E0,2.854194172E0
9.473085580E-1,-9.519050121E-1,-2.062156916E0,-1.521108031E0,2.733566158E0
9.523189450E-1,-6.944400072E-1,-2.364756107E0,-1.070988059E0,2.687253950E0
9.573291760E-1,-3.953000158E-2,-2.651098967E0,-1.090334058E0,2.866830429E0
9.623396300E-1,7.713919878E-1,-2.813549995E0,-1.436429977E0,3.251836444E0
9.673500170E-1,1.718706965E0,-3.036797047E0,-1.987579942E0,4.015789332E0
9.723602580E-1,1.930480957E0,-2.322494984E0,-2.312798023E0,3.803915663E0
9.773707170E-1,3.615120053E-1,5.339999869E-2,-1.337378979E0,1.386407235E0
9.823810890E-1,-1.817540050E0,2.180633068E0,3.135299981E-1,2.856031069E0
9.873913200E-1,-3.754339933E0,3.276849985E0,1.523157954E0,5.210837199E0
9.924016970E-1,-4.675277233E0,2.945914984E0,1.425544977E0,5.706909039E0
9.974121590E-1,-4.858025074E0,2.274693012E0,-4.057250023E-1,5.379521233E0
1.002422391E0,-4.335383892E0,2.072735071E0,-2.171751022E0,5.273356300E0
1.007432778E0,-3.103090048E0,1.735882998E0,-3.035213947E0,4.674931158E0
1.012443011E0,-1.768200040E0,1.119829059E0,-3.452359915E0,4.037243798E0
1.017453462E0,-7.246410251E-1,7.850360274E-1,-3.264269114E0,3.434652679E0
1.022463849E0,-2.045300044E-2,7.822870016E-1,-2.576423883E0,2.692647639E0
1.027474080E0,7.033099979E-2,8.483049870E-1,-1.369737983E0,1.612684080E0
1.032484475E0,-2.179470062E-1,6.166200042E-1,-3.000859916E-1,7.195642636E-1
1.037494937E0,-2.605859935E-1,5.238909721E-1,8.596349955E-1,1.039874577E0
1.042505170E0,2.419680059E-1,5.595149994E-1,1.674337029E0,1.781855785E0
1.047515552E0,1.123952985E0,-1.104189977E-1,1.830013990E0,2.150445040E0
1.052525785E0,2.136277914E0,-1.241083980E0,2.157785892E0,3.280245834E0
1.057536245E0,2.573729992E0,-1.714527011E0,2.399306059E0,3.914122955E0
1.062546636E0,2.782718897E0,-1.302108049E0,2.737663031E0,4.115070923E0
1.067556867E0,4.688148975E0,3.308300078E-1,3.494429111E0,5.856553946E0
1.072567240E0,5.282936096E0,9.322559834E-1,3.513066053E0,6.412499365E0
1.077577701E0,5.136277199E0,1.296983957E0,3.414244890E0,6.302426439E0
1.082587949E0,4.646883011E0,1.474882960E0,2.992150068E0,5.720294004E0
1.087598332E0,3.983813047E0,1.635368943E0,2.650099993E0,5.056503530E0
1.092608574E0,2.926877022E0,1.802160025E0,2.637837887E0,4.332733383E0
1.097619033E0,1.647485971E0,2.250978947E0,2.883723974E0,4.012104212E0
1.102629420E0,1.072530985E0,2.836297989E0,3.138073921E0,4.363761787E0
1.107639650E0,1.040227056E0,3.283907890E0,3.590069056E0,4.975411459E0
1.112650038E0,1.264153004E0,3.444111109E0,3.570086002E0,5.119130611E0
1.117660500E0,1.978235960E0,3.157390118E0,2.784235954E0,4.651290113E0
1.122670718E0,3.365680933E0,2.509701014E0,1.849665046E0,4.587773763E0
1.127681101E0,4.440110207E0,2.006352901E0,1.148623943E0,5.005933237E0
1.132691353E0,4.774847984E0,1.780935049E0,9.815800190E-1,5.189836438E0
1.137701812E0,4.986106873E0,1.702324986E0,8.392469883E-1,5.335120206E0
1.142712199E0,5.474202156E0,1.614271998E0,3.368760049E-1,5.717188887E0
1.147722430E0,6.028375149E0,1.407991052E0,-8.236820102E-1,6.245173960E0
1.152732817E0,6.208984852E0,1.116420031E0,-2.429239988E0,6.760110465E0
1.157743279E0,5.698511124E0,8.262680173E-1,-1.055616975E0,5.854064832E0
