"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.633139560E-1,-8.237910271E-1,-2.466769964E-1,2.663111925E0,2.798507874E0
6.683241100E-1,-7.125989795E-1,-3.516649902E-1,2.085191965E0,2.231477336E0
6.733342630E-1,-5.571240187E-1,-4.398170114E-1,1.476763964E0,1.638492594E0
6.783444170E-1,-3.536170125E-1,-4.512790143E-1,9.526569843E-1,1.111869179E0
6.833545750E-1,-8.670099825E-2,-4.247899950E-1,5.684819818E-1,7.149373165E-1
6.883646540E-1,1.286170036E-1,-4.679889977E-1,2.925100029E-1,5.666728662E-1
6.933747780E-1,2.226549983E-1,-4.601010084E-1,-3.118599951E-2,5.120944764E-1
6.983849320E-1,2.647469938E-1,-4.233959913E-1,-3.273949921E-1,5.971118966E-1
7.033950900E-1,2.838709950E-1,-3.637790084E-1,-4.736709893E-1,6.612731016E-1
7.084052430E-1,2.437400073E-1,-2.577799857E-1,-5.616160035E-1,6.642832585E-1
7.134153970E-1,2.073210031E-1,-1.744679958E-1,-5.618090034E-1,6.237390769E-1
7.184255510E-1,2.151910067E-1,-1.094110012E-1,-5.762150288E-1,6.247413032E-1
7.234354490E-1,2.475949973E-1,-1.549199969E-1,-6.030319929E-1,6.700381128E-1
7.284456010E-1,2.684339881E-1,-2.398480028E-1,-5.874689817E-1,6.889874273E-1
7.334557540E-1,3.016169965E-1,-3.573960066E-1,-4.349339902E-1,6.386488033E-1
7.384659080E-1,3.593550026E-1,-4.732249975E-1,-3.120979965E-1,6.711803600E-1
7.434760620E-1,4.388329983E-1,-5.911300182E-1,-1.248330027E-1,7.467210841E-1
7.484862120E-1,4.954200089E-1,-6.363819838E-1,7.710800320E-2,8.101658217E-1
7.534963650E-1,4.881280065E-1,-6.351760030E-1,2.103749961E-1,8.282361646E-1
7.585065230E-1,3.914810121E-1,-5.432549715E-1,3.299489915E-1,7.464915833E-1
7.635166020E-1,2.621119916E-1,-4.075419903E-1,3.807049990E-1,6.162219294E-1
7.685267780E-1,1.233289987E-1,-3.126609921E-1,3.420409858E-1,4.795403778E-1
7.735369320E-1,1.116599981E-2,-2.072679996E-1,2.824839950E-1,3.505451621E-1
7.785471010E-1,-3.911599889E-2,-2.225569934E-1,1.299960017E-1,2.606926104E-1
7.835572550E-1,-7.232499868E-2,-2.502259910E-1,-9.120800346E-2,2.759761800E-1
7.885673940E-1,-1.236400008E-1,-2.156780064E-1,-3.384419978E-1,4.199367073E-1
7.935773190E-1,-1.563879997E-1,-2.370530069E-1,-6.156929731E-1,6.780333116E-1
7.985874700E-1,-2.194000036E-1,-2.425740063E-1,-9.815490246E-1,1.034609587E0
